name;categories;lat;lng
Café Lehmsofa;Coffee Shop;52.570004969875995;13.536965075664517
Dorfkate Berlin-Falkenberg;Café;52.57014366524195;13.536778869913586
Naturschutzgebiet Falkenberg;Nature Preserve;52.572320421162765;13.535306453704832
