name;categories;lat;lng
Margarethenhöhe;Historic Site;51.43161868870977;6.9763975227643025
Mintrops Stadt-Hotel;Hotel;51.43267789424777;6.97683531468449
Huelsmannshof;German Restaurant;51.43236887124747;6.971138035540155
Sportplatz Fibelweg;Soccer Field;51.42831758672055;6.976705623817046
