name;categories;lat;lng;subcity;Unnamed: 0;City
SUBWAY;Sandwich Place;51.341812;12.358756;Zentrum-West, Leipzig;;Leipzig
Friedenspark;Park;51.32765;12.394825;Zentrum-Südost, Leipzig;;Leipzig
REWE;Supermarket;51.325639763179986;12.387133875170887;Zentrum-Südost, Leipzig;;Leipzig
Botanischer Garten der Universität Leipzig;Botanical Garden;51.32898143232605;12.391273508511569;Zentrum-Südost, Leipzig;;Leipzig
H Johannisallee;Tram Station;51.327344127775575;12.388853262671773;Zentrum-Südost, Leipzig;;Leipzig
MIO Restaurant;Italian Restaurant;51.33192148772387;12.366488986582933;Zentrum-Süd, Leipzig;;Leipzig
Viet Village;Vietnamese Restaurant;51.33182;12.367239999999999;Zentrum-Süd, Leipzig;;Leipzig
Renkli - Wein und Angst;Wine Bar;51.331595;12.373756;Zentrum-Süd, Leipzig;;Leipzig
myhotelshop;Tech Startup;51.33025;12.372399;Zentrum-Süd, Leipzig;;Leipzig
Galerie für zeitgenössische Kunst;Art Gallery;51.33415284216147;12.365387318173438;Zentrum-Süd, Leipzig;;Leipzig
Parkbühne;Music Venue;51.32920325494307;12.36105020955498;Zentrum-Süd, Leipzig;;Leipzig
Café bau bau;Café;51.33422;12.365909;Zentrum-Süd, Leipzig;;Leipzig
Uptown Coffee Bar;Café;51.33113370009454;12.374037498052553;Zentrum-Süd, Leipzig;;Leipzig
Kowalski;Bar;51.331459066806275;12.365843666288495;Zentrum-Süd, Leipzig;;Leipzig
Coffito;Café;51.33194508558122;12.365932522917511;Zentrum-Süd, Leipzig;;Leipzig
SoupBAR Summarum;Soup Place;51.33228292222223;12.372737855555556;Zentrum-Süd, Leipzig;;Leipzig
Shiki Sushi Bar Two;Sushi Restaurant;51.33104;12.37406;Zentrum-Süd, Leipzig;;Leipzig
Spielplatz Rennbahnweg;Playground;51.32824658894171;12.362405195563555;Zentrum-Süd, Leipzig;;Leipzig
H Hohe Straße;Tram Station;51.32981307209731;12.373545647339089;Zentrum-Süd, Leipzig;;Leipzig
Bagel Brothers;Bagel Shop;51.331920182088574;12.37392468310646;Zentrum-Süd, Leipzig;;Leipzig
SUBWAY;Sandwich Place;51.33048861877092;12.373363392807732;Zentrum-Süd, Leipzig;;Leipzig
Flower-Power;Rock Club;51.33113519817535;12.374302190141128;Zentrum-Süd, Leipzig;;Leipzig
Rossmann;Drugstore;51.33057324803194;12.37366924232066;Zentrum-Süd, Leipzig;;Leipzig
Kreisel;Park;51.332294223343716;12.361979484558105;Zentrum-Süd, Leipzig;;Leipzig
Bäckerei & Konditorei Göbecke;Bakery;51.3450423278561;12.389252185821533;Zentrum-Ost, Leipzig;;Leipzig
Mückenschlösschen;Gastropub;51.349711782715396;12.355158791517464;Zentrum-Nordwest, Leipzig;;Leipzig
Diego Restaurant & Bar;South American Restaurant;51.34715319093132;12.35633297916312;Zentrum-Nordwest, Leipzig;;Leipzig
H Am Mückenschlösschen;Tram Station;51.34896743004161;12.355011407824794;Zentrum-Nordwest, Leipzig;;Leipzig
Konsum;Supermarket;51.349275422076786;12.352710916136349;Zentrum-Nordwest, Leipzig;;Leipzig
Trattoria No.1;Trattoria/Osteria;51.346937264730904;12.356704499437342;Zentrum-Nordwest, Leipzig;;Leipzig
PriNet Leipzig GmbH;IT Services;51.34695222737749;12.356046438217163;Zentrum-Nordwest, Leipzig;;Leipzig
Nordplatz;Plaza;51.35199129946057;12.374124526977539;Zentrum-Nord, Leipzig;;Leipzig
Stadtbad;Event Space;51.35222581724498;12.375980615615845;Zentrum-Nord, Leipzig;;Leipzig
Mercure Art Hotel;Hotel;51.349720309421635;12.376057606169455;Zentrum-Nord, Leipzig;;Leipzig
Konsum;Supermarket;51.34958934055808;12.37430363498408;Zentrum-Nord, Leipzig;;Leipzig
H Chausseehaus;Tram Station;51.35597465093977;12.376802078374322;Zentrum-Nord, Leipzig;;Leipzig
Backparadies & Coffeeshop Dünkel;Bakery;51.353183977435684;12.373507618904116;Zentrum-Nord, Leipzig;;Leipzig
Gleis 5 Bowling;Bowling Alley;51.357152874115094;12.377961957745965;Zentrum-Nord, Leipzig;;Leipzig
Marktplatz;Plaza;51.34033849851525;12.374609128771553;Zentrum, Leipzig;;Leipzig
Zeitgeschichtliches Forum;History Museum;51.33988099382927;12.376042913016267;Zentrum, Leipzig;;Leipzig
Motel One Nikolaikirche;Hotel;51.340666;12.377930000000001;Zentrum, Leipzig;;Leipzig
Steigenberger Grandhotel Handelshof;Hotel;51.34065555176771;12.37634079511297;Zentrum, Leipzig;;Leipzig
Nikolaikirche;Church;51.3405322694358;12.378226745860633;Zentrum, Leipzig;;Leipzig
Breuninger;Clothing Store;51.34008962111244;12.37410843372345;Zentrum, Leipzig;;Leipzig
Handbrotzeit;Bistro;51.34133821806146;12.37807091812168;Zentrum, Leipzig;;Leipzig
Fitness First Lifestyle Swim Club;Gym / Fitness Center;51.33883581096954;12.374923845403586;Zentrum, Leipzig;;Leipzig
Motel One Augustusplatz;Hotel;51.3397605350764;12.379088483047278;Zentrum, Leipzig;;Leipzig
Mephisto;Lounge;51.339588073600176;12.375476884364991;Zentrum, Leipzig;;Leipzig
Milchbar Pinguin;Ice Cream Shop;51.34144295774593;12.375083483981125;Zentrum, Leipzig;;Leipzig
Gourmetage;Deli / Bodega;51.339212239545596;12.376137024661867;Zentrum, Leipzig;;Leipzig
Panorama Tower - Plate of Art;Scenic Lookout;51.33795954630353;12.37894725513311;Zentrum, Leipzig;;Leipzig
Augustusplatz;Plaza;51.3390306509017;12.380948066711426;Zentrum, Leipzig;;Leipzig
Zuckerhut;Café;51.34136280109986;12.376679011196542;Zentrum, Leipzig;;Leipzig
Pizza Pasta House;Italian Restaurant;51.34127773893014;12.376669769446357;Zentrum, Leipzig;;Leipzig
Gewandhaus zu Leipzig;Concert Hall;51.338423835831385;12.380909296485605;Zentrum, Leipzig;;Leipzig
Mädler-Passage;Shopping Mall;51.33990345217793;12.375533350047741;Zentrum, Leipzig;;Leipzig
Moritzbastei;Nightclub;51.33756288355631;12.378998869323715;Zentrum, Leipzig;;Leipzig
Oper Leipzig;Opera House;51.340022999999995;12.381317999999998;Zentrum, Leipzig;;Leipzig
Krystallpalast Varieté Leipzig;Theater;51.33745682003681;12.376820699570885;Zentrum, Leipzig;;Leipzig
Bohemian Kids;Café;51.337744;12.377846;Zentrum, Leipzig;;Leipzig
dm-drogerie markt;Drugstore;51.33943640472436;12.378709279762235;Zentrum, Leipzig;;Leipzig
First Whisk(e)y Bar;Bar;51.34096981809015;12.379456254496358;Zentrum, Leipzig;;Leipzig
Museum der bildenden Künste;Art Museum;51.34235405349253;12.375269991402602;Zentrum, Leipzig;;Leipzig
Starbucks;Coffee Shop;51.3395441492987;12.379311157980206;Zentrum, Leipzig;;Leipzig
DEPOT;Gift Shop;51.33991933358815;12.376467791394699;Zentrum, Leipzig;;Leipzig
Café Madrid;Spanish Restaurant;51.34006998869012;12.372990902153905;Zentrum, Leipzig;;Leipzig
ALEX;Café;51.34058503;12.37603047;Zentrum, Leipzig;;Leipzig
Kildare City Pub;Pub;51.34086917804556;12.37360310085156;Zentrum, Leipzig;;Leipzig
IMPERII;Bistro;51.342215;12.379639;Zentrum, Leipzig;;Leipzig
Vapiano;Italian Restaurant;51.33926188382664;12.379692792892456;Zentrum, Leipzig;;Leipzig
Grimmaische Straße;Pedestrian Plaza;51.339730413409406;12.37799093962833;Zentrum, Leipzig;;Leipzig
Adina Hotel;Hotel;51.34278620986641;12.377548493581251;Zentrum, Leipzig;;Leipzig
Passage-Kinos;Indie Movie Theater;51.34209667576341;12.372237789104085;Zentrum, Leipzig;;Leipzig
Bagel Brothers;Bagel Shop;51.34282721569554;12.378279404428511;Zentrum, Leipzig;;Leipzig
Mr. Moto Sushi Bar;Sushi Restaurant;51.341275059254464;12.372257901257674;Zentrum, Leipzig;;Leipzig
Hans im Glück - Burgergrill;Burger Joint;51.33847633038663;12.379918243140876;Zentrum, Leipzig;;Leipzig
ZR Zchaca Restaurant;Sushi Restaurant;51.33759565149384;12.37175093117887;Zentrum, Leipzig;;Leipzig
Vienna House Easy Leipzig;Hotel;51.342510363641814;12.380926886651823;Zentrum, Leipzig;;Leipzig
Ratskeller der Stadt Leipzig;German Restaurant;51.336337598482075;12.373432627251574;Zentrum, Leipzig;;Leipzig
Brick's;Cocktail Bar;51.34277908484537;12.378200998684418;Zentrum, Leipzig;;Leipzig
Ganos Kaffeerösterei;Coffee Shop;51.338626675735334;12.371773214809453;Zentrum, Leipzig;;Leipzig
L'Osteria;Trattoria/Osteria;51.33751862966072;12.371594154305544;Zentrum, Leipzig;;Leipzig
Lego Store;Toy / Game Store;51.34331580922977;12.374164171958116;Zentrum, Leipzig;;Leipzig
Andria;Pizza Place;51.34178861397505;12.378222942352295;Zentrum, Leipzig;;Leipzig
Steaktrain;Steakhouse;51.343293192152956;12.379016876220705;Zentrum, Leipzig;;Leipzig
INNSIDE Leipzig;Hotel;51.33964056711192;12.370712757110596;Zentrum, Leipzig;;Leipzig
Radisson Blu Hotel Leipzig;Hotel;51.33812479719098;12.381910804123432;Zentrum, Leipzig;;Leipzig
Schillerpark;Park;51.336494778081864;12.376526229627812;Zentrum, Leipzig;;Leipzig
Valentino;Italian Restaurant;51.343285741984346;12.372905885329653;Zentrum, Leipzig;;Leipzig
EDEKA Schwarm;Supermarket;51.33884077102489;12.383113468531521;Zentrum, Leipzig;;Leipzig
Zum Kakadu Karaoke;Karaoke Bar;51.336603967171364;12.381121132399961;Zentrum, Leipzig;;Leipzig
Das Felix Im Lebendigen Haus;Hotel;51.339168;12.382415;Zentrum, Leipzig;;Leipzig
JOHN REED Fitness;Gym / Fitness Center;51.3390424;12.3824964;Zentrum, Leipzig;;Leipzig
Spagos Restaurant & Lounge;Restaurant;51.338025276797474;12.381913661956787;Zentrum, Leipzig;;Leipzig
tapir - Ausrüstung für Rucksackreisende GmbH;Sporting Goods Shop;51.34066;12.38331;Zentrum, Leipzig;;Leipzig
Packstation 146;Shipping Store;51.340516;12.383586;Zentrum, Leipzig;;Leipzig
Der Löwe - Das Lokal;German Restaurant;50.09455;8.494302000000001;Zeilsheim, Frankfurt;;Frankfurt
REWE;Supermarket;50.0973488;8.4980075;Zeilsheim, Frankfurt;;Frankfurt
Pizzeria D'Angelo;Italian Restaurant;50.09678462481097;8.491304080646595;Zeilsheim, Frankfurt;;Frankfurt
Burger Maik;Burger Joint;50.09714889526367;8.498071670532228;Zeilsheim, Frankfurt;;Frankfurt
Piazza Fontana;Italian Restaurant;52.43519563793024;13.257949294254987;Zehlendorf, Berlin;;Berlin
Butter Lindner;Gourmet Shop;52.4328213087944;13.259330523440134;Zehlendorf, Berlin;;Berlin
Alte Backstube;Café;52.435180536865886;13.257545469237762;Zehlendorf, Berlin;;Berlin
Liberty Pizza;Pizza Place;52.43561948342707;13.257882893178284;Zehlendorf, Berlin;;Berlin
Gartenhaus Café;Café;52.431332999999995;13.25823;Zehlendorf, Berlin;;Berlin
Civan's Döner;Doner Restaurant;52.43571654373096;13.260932094396475;Zehlendorf, Berlin;;Berlin
Garbatella;Italian Restaurant;52.43757299446411;13.257298646410401;Zehlendorf, Berlin;;Berlin
Block House;Steakhouse;52.431574054326155;13.2589731048735;Zehlendorf, Berlin;;Berlin
Sakura Sushi;Asian Restaurant;52.43567012074667;13.26141162346193;Zehlendorf, Berlin;;Berlin
dm-drogerie markt;Drugstore;52.433569999999996;13.260023;Zehlendorf, Berlin;;Berlin
BIO COMPANY;Organic Grocery;52.43370097636679;13.259823277048767;Zehlendorf, Berlin;;Berlin
dm-drogerie markt;Drugstore;52.43659914261846;13.261736347420426;Zehlendorf, Berlin;;Berlin
Fitness First;Gym / Fitness Center;52.43772417696904;13.262523114681244;Zehlendorf, Berlin;;Berlin
Spirit Yoga Zehlendorf;Yoga Studio;52.43149235482039;13.257144707795426;Zehlendorf, Berlin;;Berlin
Telekom Shop;Mobile Phone Shop;52.43470680813636;13.260650266861374;Zehlendorf, Berlin;;Berlin
Sixteen Bites;Fast Food Restaurant;52.431894526819846;13.259409070014954;Zehlendorf, Berlin;;Berlin
Café LebensArt;Café;52.43621657368682;13.261363551525063;Zehlendorf, Berlin;;Berlin
Deutsche Bank Filiale;Bank;52.434987300780676;13.259285849896967;Zehlendorf, Berlin;;Berlin
H&M;Clothing Store;52.431580000000004;13.259647;Zehlendorf, Berlin;;Berlin
Tomasa;Café;52.43489385337332;13.261979086450644;Zehlendorf, Berlin;;Berlin
